experience_years,age,education_level,working_hours,performance_score,projects_completed,salary
6,32,1,36,1,1,57743
19,52,3,45,5,0,107633
14,45,3,44,7,17,115431
10,38,2,47,1,17,85031
7,35,4,41,8,7,97001
20,52,4,44,3,13,118621
6,26,2,38,7,12,89289
18,54,2,54,3,14,102574
22,25,2,50,4,14,125203
10,38,2,54,8,12,96873
10,36,4,40,2,3,78663
23,28,3,43,6,3,120368
20,45,3,47,10,4,132443
3,52,2,41,9,2,69580
7,46,1,52,10,11,89303
23,42,2,48,9,19,157028
2,51,3,39,5,11,81688
21,30,1,47,3,19,115213
20,32,2,42,6,6,113418
1,48,1,49,9,6,68442
23,26,2,53,6,0,119273
11,40,4,43,4,11,101458
5,25,3,40,5,2,73338
1,43,2,48,7,14,71823
20,29,1,44,10,8,116964
0,49,3,43,3,19,72152
11,36,2,51,9,8,99154
21,42,2,47,1,13,105065
11,28,2,51,8,2,87592
24,40,2,53,5,7,118481
16,34,4,47,10,5,117773
9,54,3,43,9,11,117021
15,31,4,35,2,1,85791
14,53,3,35,1,2,90512
14,51,2,39,10,13,116706
18,54,3,42,7,16,129966
11,27,1,52,10,2,98866
22,43,3,38,9,3,125040
19,27,1,35,5,14,124285
24,45,1,49,4,6,107716
2,23,4,54,4,18,90597
4,40,3,38,8,13,103836
18,54,2,43,1,15,112975
6,50,3,54,1,12,68092
20,37,4,44,8,19,154347
8,30,1,49,2,16,82184
6,40,1,37,10,16,91582
17,38,4,36,6,9,119896
3,47,4,39,2,6,66542
24,43,3,35,5,19,150667
13,52,1,45,3,16,96014
17,30,4,46,7,11,118284
8,31,3,37,9,10,102408
20,26,3,50,2,9,109213
1,54,2,48,7,7,79026
19,37,1,46,8,14,117813
14,32,3,54,10,17,132430
6,41,4,50,8,12,102455
11,39,1,42,7,15,94355
7,23,4,51,4,12,87584
14,38,4,51,4,3,103183
2,39,3,41,10,10,92342
13,26,3,49,9,18,133599
16,36,2,43,10,7,111237
3,28,4,38,9,9,88728
17,38,3,42,5,11,107893
7,32,2,44,7,19,111022
3,30,1,49,7,10,67666
1,27,2,52,9,19,100210
5,21,2,48,7,3,76591
21,41,4,39,8,18,153518
9,44,1,43,7,19,111102
3,45,4,47,4,9,89396
21,27,4,53,2,14,132470
17,37,2,45,3,12,100888
11,49,2,46,7,12,105061
1,50,3,37,9,17,95501
9,27,2,36,2,6,76938
3,53,3,49,7,13,95719
13,27,4,39,4,4,103053
15,44,2,41,7,8,111989
14,31,1,38,5,16,113918
7,29,1,39,7,4,85758
13,32,4,50,6,15,121138
22,24,4,49,2,8,123304
24,48,2,50,7,16,141282
7,33,3,38,5,17,88643
20,43,2,40,9,2,126789
15,39,3,52,1,4,88504
12,44,2,37,1,16,100434
17,36,1,39,2,19,99903
14,53,1,36,8,3,89860
20,32,3,50,9,3,123414
23,54,2,40,7,6,126120
24,27,4,49,1,7,121354
